id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Sun Feb 17 14:01:50 +0000 2019,2211499602,"Happy birthday to this beautiful and kind soul, my twin and partner in crime. I love u so much, and i can't wait to� https://t.co/ej2QayjUAD",en,None,None,None,1a27537478dd8e38,None,ES,1,7,crime,41.3851,2.1734,3,NEG,0.009
Sun Feb 17 12:06:38 +0000 2019,1488170760,"No, the �gross� part about the Smollett news is how quickly the MSM jumped on the story despite a lack of evidence� https://t.co/JIVeHUDeWV",en,None,None,None,1a27537478dd8e38,None,ES,5,118,crime,41.3851,2.1734,3,NEG,0.003
Sun Feb 17 11:23:04 +0000 2019,42510360,@AyrshireSPolice What was the crime exactly you utter company men?,en,None,None,None,1a27537478dd8e38,None,ES,0,0,crime,41.3851,2.1734,3,NEG,0.003
Sun Feb 17 09:59:08 +0000 2019,2742459457,Ditador coriano senvergonca problematico fuera. Condenado por crime de guerra genocida.,es,None,None,None,1a27537478dd8e38,None,ES,0,0,crime,41.3851,2.1734,3,NEG,0.059
Sun Feb 17 07:15:11 +0000 2019,3328865176,Self-determination is not a crime.  https://t.co/mxQciNndtM,en,None,None,None,1a27537478dd8e38,None,ES,2,1,crime,41.3851,2.1734,3,NEG,0.08
Sat Feb 16 10:50:15 +0000 2019,2793615138,@centolloerrante @Europarl_EN @elnacionalcat_e It is also to be said that the organization of a referendum was expr� https://t.co/YMvhsxZsxX,en,None,None,None,1a27537478dd8e38,None,ES,0,0,crime,41.3851,2.1734,3,NEG,0.007
Sun Feb 17 14:01:50 +0000 2019,2211499602,"Happy birthday to this beautiful and kind soul, my twin and partner in crime. I love u so much, and i can't wait to� https://t.co/ej2QayjUAD",en,None,None,None,1a27537478dd8e38,None,ES,1,7,crime,41.3851,2.1734,3,NEG,0.009
Sun Feb 17 12:06:38 +0000 2019,1488170760,"No, the �gross� part about the Smollett news is how quickly the MSM jumped on the story despite a lack of evidence� https://t.co/JIVeHUDeWV",en,None,None,None,1a27537478dd8e38,None,ES,5,118,crime,41.3851,2.1734,3,NEG,0.003
Sun Feb 17 11:23:04 +0000 2019,42510360,@AyrshireSPolice What was the crime exactly you utter company men?,en,None,None,None,1a27537478dd8e38,None,ES,0,0,crime,41.3851,2.1734,3,NEG,0.003
Sun Feb 17 09:59:08 +0000 2019,2742459457,Ditador coriano senvergonca problematico fuera. Condenado por crime de guerra genocida.,es,None,None,None,1a27537478dd8e38,None,ES,0,0,crime,41.3851,2.1734,3,NEG,0.059
Sun Feb 17 07:15:11 +0000 2019,3328865176,Self-determination is not a crime.  https://t.co/mxQciNndtM,en,None,None,None,1a27537478dd8e38,None,ES,2,1,crime,41.3851,2.1734,3,NEG,0.08
Sat Feb 16 10:50:15 +0000 2019,2793615138,@centolloerrante @Europarl_EN @elnacionalcat_e It is also to be said that the organization of a referendum was expr� https://t.co/YMvhsxZsxX,en,None,None,None,1a27537478dd8e38,None,ES,0,0,crime,41.3851,2.1734,3,NEG,0.007
